,image,study
0,d8ba599611e5.dcm,cd5dd5e6f3f5
1,29b23a11d1e4.dcm,49358afcfb80
2,8174f49500a5.dcm,e4b50e7402c3
3,d54f6204b044.dcm,e4b50e7402c3
4,d51cadde8626.dcm,92aad2d01be8
5,47d014f9055a.dcm,b524c80e729a
6,89fd7f185d77.dcm,3927f0e451cc
7,7c40e04c6163.dcm,ba27bcbd6881
8,6a93346150a4.dcm,ba27bcbd6881
9,5b687c54d3fd.dcm,e38bf848a4b2
10,be917938214c.dcm,e7c4f060e6d4
11,85ffddb247ad.dcm,cc214df24ffd
12,588b5f226959.dcm,92aacc2910ce
13,ba170bfd0cdc.dcm,4838494c6cc8
14,b23893fe008e.dcm,53a991898080
15,9178cdb575d7.dcm,95c2b109d0d4
16,59eff22a4a77.dcm,1a3172a2e845
17,d1744cad68c1.dcm,3b1ba7f31ca0
18,6e1f00bb51ef.dcm,1daae8c5c00d
19,2b3e7de602cc.dcm,59cb862d37e1
20,8f6792bb8de4.dcm,84b117cebcc5
21,e00f9fe0cce5.dcm,ae3e63d94c13
22,7dbfb4abc250.dcm,f975ce4319f4
23,9daead7ab0b8.dcm,0a3066013f86
24,d351eafe4a11.dcm,231a5f824249
25,9435525bf9f8.dcm,9ff049a6b395
26,3019399c31f4.dcm,005057b3f880
27,73a4fda5dd09.dcm,7320a49281fb
28,f7edf5c476c4.dcm,79c3bf957d49
29,4cbc17936e7d.dcm,79c3bf957d49
30,d4131bd4e64a.dcm,79c3bf957d49
31,582c442e440b.dcm,79c3bf957d49
32,08f493a7fb3f.dcm,98d246dec8db
33,99bbc821132d.dcm,456f61eec895
34,66b1f8f4b3cf.dcm,586d54b2a31a
35,75c7112673de.dcm,e78731870e9a
36,6a80fbffe6d9.dcm,d3a94080741c
37,ff339bf108b4.dcm,f4f46fb7a346
38,60b2b1f5f130.dcm,cdd15519ddb1
39,636140b67fd6.dcm,3aa2fb153a2f
40,e9a97d1b9a12.dcm,8855be1da6d3
41,11c908b4554b.dcm,c766fc255651
42,efe43aeaa2ee.dcm,5f893a168417
43,de95298084e1.dcm,1586ec1cb18e
44,a7fd8a671824.dcm,ee59b3ab54f1
45,bd332c501671.dcm,b47a01dbca0f
46,f658eafd6b22.dcm,5f214fc89978
47,0aab55177927.dcm,619a6ab0ef11
48,103d0b0c7095.dcm,12e41bdbf7d8
